Article Title,Author,Journal Title,ISSN,ISBN,Publication Date,Volume,Issue,First Page,Page Count,Accession Number,DOI,Publisher,Doctype,Subjects,Keywords,Abstract,PLink
"Characteristics and clinical treatment of tobacco smokers enrolled in a VA substance use disorders clinic.","Gass, Julie C.; Morris, David H.; Winters, Jamie; VanderVeen, Joseph W.; Chermack, Stephen","Journal of Substance Abuse Treatment",="07405472",,="20180101","84",,"1","8","2017-53812-003","10.1016/j.jsat.2017.10.006","Elsevier Science","Journal Article","Clinics; Smoking Cessation; Treatment Outcomes; Substance Use Disorder; Comorbidity; Adulthood (18 yrs & older); Middle Age (40-64 yrs); Male; Female",,"Individuals with a substance use disorder (SUD) diagnosis are more than twice as likely to smoke cigarettes as the general population. Emerging research has suggested that treating a substance use disorder simultaneously with tobacco use leads to a higher rate of treatment success for both substances. Despite this, substance use treatment protocols tend not to focus on tobacco use; in fact, traditional substance use treatments often discourage patients from attempting to quit smoking. One rationale is that patients may not be motivated to quit smoking. In the current study, data from veterans enrolled in outpatient treatment for a SUD were examined to assess for general characteristics of smokers as compared to non-smokers as well as to examine motivation to quit smoking. Baseline (i.e., pre-treatment) data from 277 Veterans were used. Charts of smokers in the SUD clinic (SUDC) were reviewed to assess how smoking is handled by SUDC providers, and if smokers attempt cessation. Of 277, 163 (59%) SUDC patients reported that they currently smoke cigarettes (M = 16.3 cigarettes per day, SD = 11.1). Smokers in the clinic reported greater general impairment than nonsmokers on the Short Index of Problems, F(1248) = 8.9, p = 0.003, as well as greater specific impairment: Physical Problems, F(1258) = 13.5, p = 0.000; Interpersonal Problems, F(1262) = 5.6, p = 0.019; Intrapersonal Problems, F(1260) = 6.5, p = 0.011, and Social Responsibility, F(1262) = 14.7, p = 0.000. Smokers in the sample were marginally more anxious than their non-smoking counterparts as measured by the GAD-7, F(1254) = 4.6, p = 0.053, though they were not significantly more depressed (p = 0.19). On a 1–10 scale, smokers reported moderate levels of importance (M = 5.4, SD = 3.1), readiness (M = 5.6, SD = 3.2), and confidence (M = 5.0, SD = 3.0) regarding quitting smoking. Review of smokers' medical records reveal that while SUDC providers assess tobacco use at intake (90%) and offer treatment (86.5%), a substantially small portion of smokers attempt cessation (41.1%) while enrolled in SUDC. Moreover, no patients were enrolled in smoking-specific behavioral interventions while in SUDC, though 78 patients did obtain nicotine replacement or another smoking cessation medication (41% were prescribed by a SUDC provider). Contrary to the belief that treatment-seeking substance users are not motivated to quit smoking, these preliminary analyses demonstrate that Veterans were at least contemplating quitting smoking while they were enrolled in substance use treatment. Further, there is evidence that cigarette smokers have greater impairment caused by substance use, suggesting that this subgroup is of particular high need. Specific treatment recommendations are discussed, including how behavioral health providers in SUD clinics may be better able to capitalize on patients' moderate motivation to quit at intake. (PsycINFO Database Record (c) 2018 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2017-53812-003&site=ehost-live"
"Clinical effectiveness and cost minimisation model of Alpha-Stim cranial electrotherapy stimulation in treatment seeking patients with moderate to severe generalised anxiety disorder.","Morriss, Richard; Xydopoulos, Georgios; Craven, Michael; Price, Larry; Fordham, Richard","Journal of Affective Disorders",="01650327",,="20190615","253",,"426","12","2019-36780-053","10.1016/j.jad.2019.04.020","Elsevier Science","Journal Article","Generalized Anxiety Disorder; Remission (Disorders); Severity (Disorders); Neuromodulation; Costs and Cost Analysis; Treatment Effectiveness Evaluation; Clinical Models; Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Thirties (30-39 yrs); Middle Age (40-64 yrs); Aged (65 yrs & older); Male; Female",,"Background: Cranial electrotherapy stimulation (CES) is a well-tolerated neuromodulation treatment with demonstrated trial efficacy in anxiety disorders. The aim of the current study was to demonstrate its clinical and cost effectiveness during and after CES in people with generalised anxiety disorder (GAD) who had not responded to low intensity psychological treatment in a routine health service. Methods: Consecutive sample of eligible patients with GAD waiting for individual cognitive behaviour therapy (CBT) selected from two publicly funded services in England. They received 60 min per day Alpha-Stim CES for 6–12 weeks. Primary outcome was remission on the GAD-7 scale at 12 and 24 weeks. Cost effectiveness was examined using a cost minimisation model of direct health costs. Results: Of 161 patients recruited, 72 (44.7%) and 77 (47.8%) achieved remission on the GAD-7 at 12 and 24 weeks respectively with 122 (75.8%) receiving at least 6 weeks CES. Mean (sd) GAD-7 score at baseline significantly improved from 15.77 (3.21) to 8.92 (5.42) and 8.99 (6.18) at 12 and 24 weeks respectively (p < 0.001). 80 (49.7%) participants required further individual CBT. CES provided a saving of £540.88 per patient (95% CI −£327.12, £648.69). Limitations: Participants were not randomised and there was no control group. Only 48 (29.9%) participants completed every assessment. Conclusion: In patients with generalised anxiety disorder not responding to low intensity psychological treatment, 6–12 weeks daily Alpha Stim CES may be effective after treatment and 3 months later, thereby reducing the need for individual CBT and saving health costs. (PsycInfo Database Record (c) 2020 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2019-36780-053&site=ehost-live"
"Clinical significance of sensory hypersensitivities in migraine patients: Does allodynia have a priority on it?","Seo, Jong-Geun; Park, Sung-Pa","Neurological Sciences",="15901874",,="20190201","40","2","393","6","2019-04825-024","10.1007/s10072-018-3661-2","Springer","Journal Article","Clinical Psychology; Migraine Headache; Sensory Adaptation; Adolescence (13-17 yrs); Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Thirties (30-39 yrs); Middle Age (40-64 yrs); Aged (65 yrs & older); Male; Female",,"Objectives: This study investigated to identify the clinical significance of allodynia compared with other sensory hypersensitivities (SH) in migraine patients. Methods: New patients with migraine were recruited from a headache clinic, and we collected data regarding their clinical characteristics and identified SH including photophobia, phonophobia, osmophobia, and allodynia. The patients completed the 12-item Allodynia Symptom Checklist, Migraine Disability Assessment Scale (MIDAS), Headache Impact Test-6 (HIT-6), Patient Health Questionnaire-9 (PHQ-9), Generalized Anxiety Disorder-7 (GAD-7), Insomnia Severity Index (ISI), Fatigue Severity Scale (FSS), and Migraine-Specific Quality of Life Questionnaire Version 2.1. We divided the patients into three groups: SH with allodynia (group 1), SH without allodynia (group 2), and no SH (group 3). Clinical characteristics, psychosomatic features, and quality of life (QOL) were compared among these groups. Results: A total of 312 migraine patients participated in the study. Among them, 58 (18.6%), 202 (64.7%), and 52 (16.7%) were allocated to groups 1, 2, and 3, respectively. Chronic migraine, family history of migraine, medication overuse headache, earlier age at onset, longer disease duration, higher headache intensity, and aggravation with physical activity were more prevalent in group 1 than in groups 2 or 3. Scores of the MIDAS, HIT-6, PHQ-9, GAD-7, ISI, and FSS were the highest in group 1, followed by groups 2 and group 3. The lowest QOL was noted in group 1, followed by groups 2 and group 3. Conclusions: This study revealed that SH in migraine, particularly combined with allodynia, may result in poor clinical outcomes. (PsycINFO Database Record (c) 2019 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2019-04825-024&site=ehost-live"
"Coached mobile app platform for the treatment of depression and anxiety among primary care patients: A randomized clinical trial.","Graham, Andrea K.; Greene, Carolyn J.; Kwasny, Mary J.; Kaiser, Susan M.; Lieponis, Paul; Powell, Thomas; Mohr, David C.","JAMA Psychiatry",="2168622X",,="20200901","77","9","906","9","2020-72090-002","10.1001/jamapsychiatry.2020.1011","American Medical Association","Journal Article","Anxiety Disorders; Major Depression; Primary Health Care; Mobile Applications; Intervention; Adulthood (18 yrs & older); Male; Female",,"Importance: Depression and anxiety are common and disabling. Primary care is the de facto site for treating these mental health problems but is typically underresourced to meet the burden of these demands. Objective: To evaluate the efficacy of a mobile intervention platform, IntelliCare, for addressing depression and anxiety among primary care patients. Design, Setting, and Participants: Two-arm randomized clinical trial at internal medicine clinics at the University of Arkansas for Medical Sciences. Adult primary care patients (N = 146) who screened positive for depression on the Patient Health Questionnaire-8 (PHQ; score ≥ 10) or anxiety on the Generalized Anxiety Disorder-7 (GAD-7; score ≥ 8) were recruited between July 17, 2018, and December 14, 2018. Interventions: The coach-supported platform composed of a suite of apps, was delivered over 8 weeks.Wait list control participants received treatment as usual for 8 weeks, then the mobile platform. Main Outcomes and Measures: Primary outcomeswere changes in depression (PHQ-9) and anxiety (GAD-7) during the intervention period. Secondary outcomes were differences in the proportion of patients who achieved recovery (PHQ-9/GAD-7 < 5 or 50% improvement from baseline), sustainment of intervention effects during 2-month follow-up, and app use during the intervention period. Results: One hundred forty-six patients were included (119 of 146 were women [81.5%]; mean [SD] age, 42.3 [13.8] years). Of the 146 patients, 122 (83.6%) were diagnosed as having depression and 131 (89.7%) were diagnosed as having anxiety. A greater proportion of intervention vs wait list control participants achieved recovery from depression (n = 38 of 64 [59%] vs n = 18 of 58 [31%]; odds ratio, 3.25; 95%CI, 1.54-6.86) and anxiety (n = 37 of 65 [57%] vs n = 25 of 66 [38%]; odds ratio, 2.17; 95%CI, 1.08-4.36). Sustained effects were observed for depression (slope, 0.01; 95%CI, –0.09 to 0.10; P = .92) and anxiety scores (slope, 0.02; 95%CI, –0.08 to 0.12; P = .67) during follow-up. App use was high, with a median of 93 and 98 sessions among participants with depression and anxiety, respectively. Conclusions and Relevance: In this trial, a mobile intervention app was effective for depression and anxiety among primary care patients. Findings also support designing digital mental health interventions as platforms containing simple, brief apps that can be bundled by users to meet their needs. (PsycInfo Database Record (c) 2020 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2020-72090-002&site=ehost-live"
"Cognitive behaviour treatment of co-occurring depression and generalised anxiety in routine clinical practice.","Shafran, Roz; Wroe, Abigail; Nagra, Sasha; Pissaridou, Eleni; Coughtrey, Anna","PLoS ONE",="19326203",,="20180726","13","7",,,"2018-37256-001","10.1371/journal.pone.0201226","Public Library of Science","Journal Article","Clinical Practice; Cognitive Behavior Therapy; Comorbidity; Generalized Anxiety Disorder; Major Depression; Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Thirties (30-39 yrs); Middle Age (40-64 yrs); Aged (65 yrs & older); Male; Female",,"Background: Anxiety and depression are closely associated. However, they are typically treated separately and there is a dearth of information on tackling them together. Aims: The study's purpose was to establish how best to treat co-occurring anxiety and depression in a routine clinical service-specifically, to compare cognitive behaviour therapy (CBT) focusing only on depression (CBT-D) to a broader CBT focusing on both depression and anxiety (CBT-DA). Method: Case notes of 69 patients with equally severe clinical levels of depression and anxiety seen in a routine clinical service were randomly selected to review from a pool of 990 patients. The mean age was 44.61 years (SD = 12.97). 65% of the sample were female and 88% reported their ethnicity white. The content of electronic records reporting techniques used and scores on a measure of depression (The Patient Health Questionnaire) and anxiety (The Generalized Anxiety Disorder Assessment) were reviewed to categorise therapy as CBT-D or CBT-DA. Results: Results indicated significant overall improvement with CBT; 70% and 77% of the sample met criteria for reliable improvement on The Patient Health Questionnaire and The Generalized Anxiety Disorder Assessment respectively. Fewer patients who received CBT-DA met The Generalized Anxiety Disorder Assessment recovery criteria at the end of treatment than those who received CBT-D. Mean post treatment PHQ-9 and GAD-7 scores remained above threshold for those receiving CBT_DA but not those receiving CBT-D. There was no evidence suggesting CBT-DA was superior to CBT-D. Conclusions: In patients with equally severe clinical levels of depression and anxiety, a broader treatment addressing both anxiety and depression does not appear to be associated with improved outcomes compared to treatment focused on depression. (PsycInfo Database Record (c) 2020 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2018-37256-001&site=ehost-live"
"Cognitive impairment as measured by the THINC-integrated tool (THINC-it): The association with self-reported anxiety in Major Depressive Disorder.","Cha, Danielle S.; Carmona, Nicole E.; Rodrigues, Nelson B.; Mansur, Rodrigo B.; Lee, Yena; Subramaniapillai, Mehala; Phan, Lee; Cha, Rebekah H.; Pan, Zihang; Lee, Jae Hon; Lee, JungGoo; Almatham, Fahad; Alageel, Asem; Rosenblat, Joshua D.; Shekotikhina, Margarita; Rong, Carola; Harrison, John; McIntyre, Roger S.","Journal of Affective Disorders",="01650327",,="20181001","238",,"228","5","2018-36905-032","10.1016/j.jad.2018.05.006","Elsevier Science","Journal Article","Anxiety; Cognitive Impairment; Major Depression; Self-Report; Test Construction; Severity (Disorders); Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Thirties (30-39 yrs); Middle Age (40-64 yrs); Aged (65 yrs & older); Male; Female",,"Background and objectives: This study evaluated the association between self-reported anxiety and objective/subjective measures of cognitive performance in adults with Major Depressive Disorder (MDD). Methods: Acutely depressed subjects with recurrent MDD (n = 100) and age-, sex-, and education-matched healthy controls (HC; n = 100) between the ages of 18 and 65 completed the cross-sectional validation study of the THINC-integrated tool (THINC-it; ClinicalTrials.gov: NCT02508493). Objective cognitive performance was assessed using the THINC-it, and subjective cognitive impairment with the Perceived Deficits Questionnaire for Depression–5-item. Subjects also completed the Generalized Anxiety Disorder-7-item (GAD-7) questionnaire. Results: Subjects with MDD reported significantly more anxiety symptoms, as assessed by the GAD-7, compared to HC (p < 0.001). Linear regression analysis determined that anxiety symptoms significantly accounted for 70.4% of the variability in subjective cognitive impairment, adjusting for depression severity. Moreover, subjects’ ratings of the difficulties caused by their anxiety were reported as significantly more severe among subjects with MDD when compared to HC (p < 0.001). Likewise, greater self-reported difficulties with anxiety significantly predicted 57.8% of the variability in subjective cognitive impairment, adjusting for depression severity. Neither anxiety symptoms nor impairment due to anxiety symptoms predicted objective cognitive performance. Limitations: Subjects were not prospectively verified to have a clinical diagnosis of GAD. Rather, this study examined the relationships between symptoms of generalized anxiety, assessed using a brief screening tool, and subjective and objective cognitive function. Conclusions: Results from the current study indicate that adults with MDD and high levels of self-reported anxiety are significantly more likely to report experiencing subjective cognitive dysfunction. (PsycINFO Database Record (c) 2018 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2018-36905-032&site=ehost-live"
"Combinatorial effects of discrimination, legal status fears, adverse childhood experiences, and harsh working conditions among Latino migrant farmworkers: Testing learned helplessness hypotheses.","Andrews, Arthur R. III; Haws, James K.; Acosta, Laura M.; Acosta Canchila, M. Natalia; Carlo, Gustavo; Grant, Kathleen M.; Ramos, Athena K.","Journal of Latinx Psychology",="25788086",,="20200801","8","3","179","23","2019-56905-001","10.1037/lat0000141","Educational Publishing Foundation","Journal Article","Discrimination; Human Migration; Major Depression; Working Conditions; Childhood Adversity; Anxiety; Fear; Foreign Language Translation; Hypothesis Testing; Immigration; Learned Helplessness; Legal Processes; Migrant Farm Workers; Test Construction; Latinos/Latinas; Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Thirties (30-39 yrs); Middle Age (40-64 yrs); Aged (65 yrs & older); Male; Female",,"Migrant farmwork is often characterized by harsh working conditions that carry significant physical and mental health consequences. Using a learned helplessness framework, the current study examined the extent to which discrimination, immigration legal status difficulties, and adverse childhood experiences moderated the effects of harsh working conditions on depression and anxiety. The study also examined the extent to which harsh working conditions mediated the effects of discrimination, immigration legal status difficulties, and adverse childhood experiences on depression and anxiety. Participants were 241 migrant farmworkers recruited in the Midwest. Participants completed interviews consisting of the Migrant Farmworker Stress Index (MFWSI), Adverse Childhood Events Scale (ACEs), Everyday Discrimination Scale, the Centers for Epidemiology Scale for Depression (CES-D), and the 7-item Generalized Anxiety Disorder Scale (GAD-7). Tests of indirect effects suggested, working conditions mediated the effects of ACEs, immigration legal status fears, and discrimination on CES-D and GAD-7 scores (p values < .05). Higher ACEs and discrimination also appeared to be associated with larger effects of harsh working conditions on depression and anxiety (p values < .05), while legal status fears did not significantly moderate the effect of harsh working conditions on either outcome (p values > .05). Likely through different mechanisms, adverse childhood experiences, discrimination and immigration legal status are associated with higher risk of harsh working conditions and subsequently these conditions account for much of the relations between these 3 stressors with depression and anxiety. Additionally, discrimination and adverse childhood experiences appear to then enhance the effects of working conditions. (PsycInfo Database Record (c) 2020 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2019-56905-001&site=ehost-live"
"Common mental disorder including psychotic experiences: Trailblazing a new recovery pathway within the Improving Access to Psychological Therapies programme in England.","Perez, Jesus; Russo, Debra A.; Stochl, Jan; Clarke, James; Martin, Zoe; Jassi, Christina; French, Paul; Fowler, David; Jones, Peter B.","Early Intervention in Psychiatry",="17517885",,="20180601","12","3","497","8","2017-21995-001","10.1111/eip.12434","Wiley-Blackwell Publishing Ltd.","Journal Article","Mental Disorders; Mental Health Programs; Psychosis; Psychotherapy; Recovery (Disorders); Adulthood (18 yrs & older); Male; Female",,"Psychotic experiences, depressive and anxiety symptoms may be manifestations of a latent continuum of common mental distress. The Improving Access to Psychological Therapies (IAPT) programme has increased the reach of psychological treatments to people with common mental disorders in England. However, psychotic experiences are neither measured nor considered in therapy. We aimed to confirm the presence of psychotic experiences among IAPT service‐users and determine whether these experiences are associated with higher depression/anxiety levels and poorer recovery. All service‐users that attended the Fenland and Peterborough IAPT teams in Cambridgeshire between November 16, 2015 and January 29, 2016 participated in a service evaluation. In addition to routine mesures, such as the Generalized Anxiety Disorder‐7 questionnaire (GAD‐7) and the Patient Health Questionnaire‐9 (PHQ‐9), we introduced a shortened version of the Community Assessment of Psychic Experiences (CAPE‐P15) to measure psychotic experiences. Classes of individuals were identified with latent class analysis. Associations were reported using Pearson correlation coefficient. One hundred and seventy‐three services‐users were included, mostly females (N = 133; 76.9%). The mean age was 36.6 (SD = 13.3). Around 30% likely belonged to a class with psychotic experiences. CAPE‐P15 frequency was significantly correlated to PHQ‐9 (r = 0.44; P < .001) and GAD‐7 (r = 0.32; P < .001). Similarly, CAPE‐P15 distress and both PHQ‐9 (r = 0.43; P < .001) and GAD‐7 (r = 0.38; P < .001) were highly correlated. These associations were replicated after the initial period of the therapy, indicating poor recovery. Some IAPT service‐users suffer psychotic experiences. Tailoring available evidence‐based psychological therapies for these people in IAPT settings might trailblaze a new care pathway to improve recovery in this group. (PsycINFO Database Record (c) 2019 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2017-21995-001&site=ehost-live"
"Comparing the diagnostic concepts of ICD-10 somatoform disorders and DSM-5 somatic symptom disorders in patients from a psychosomatic outpatient clinic.","Hüsing, Paul; Löwe, Bernd; Toussaint, Anne","Journal of Psychosomatic Research",="00223999",,="20181001","113",,"74","7","2018-44083-013","10.1016/j.jpsychores.2018.08.001","Elsevier Science","Journal Article","Diagnostic and Statistical Manual; International Classification of Diseases; Somatoform Disorders; Symptoms; Diagnosis; Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Thirties (30-39 yrs); Middle Age (40-64 yrs); Aged (65 yrs & older); Male; Female",,"Objective: The reconceptualization of somatic symptom and related disorders in DSM-5 led to numerous consequences in terms of prevalence and affected patient populations. The present study aimed to investigate frequencies of ICD-10 somatoform disorders and DSM-5 somatic symptom disorders, and how the respective diagnostic groups differ in terms of sociodemographic and psychopathological characteristics. It discusses the usefulness and reliability of the new diagnostic criteria. Method: Patients from a German psychosomatic outpatient clinic (n = 438) completed self-report questionnaires on depression (PHQ-9), anxiety (GAD-7), symptom burden (PHQ-15), psychological distress (SSD-12), and quality of life (SF-12). ICD-10 diagnoses were provided by treating clinicians, DSM-5 diagnoses were assessed via semi-structured telephone interviews. The prevalence of somatic symptom disorders and their overlap with ICD-10 somatoform disorders was evaluated. Comparisons between patients with either diagnosis were drawn. Results: More than half of the sample (n = 239, 54.6%) fulfilled the criteria for a somatic symptom disorder. Compared to patients fulfilling ICD-10 criteria only, patients with a somatic symptom disorder presented higher levels of symptom related distress (p = .045), health related anxiety (p = .004), general anxiety (p = .011), and lower mental health-related quality of life (p = .015), while patients with ICD-10 somatoform disorders reported a lower physical health-related quality of life (p = .031). Conclusion: DSM-5 criteria included more patients than ICD-10 somatoform disorders in our sample. Patients diagnosed with a somatic symptom disorder appear to be more severely impaired in terms of general and health-related anxiety and psychological distress associated to their somatic symptoms, especially when diagnosed with a severe form of somatic symptom disorder. (PsycInfo Database Record (c) 2020 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2018-44083-013&site=ehost-live"
"Comparison of the effects of coaching and receipt of app recommendations on depression, anxiety, and engagement in the IntelliCare platform: Factorial, randomized controlled trial.","Mohr, David C.; Schueller, Stephen M.; Tomasino, Kathryn Noth; Kaiser, Susan M.; Alam, Nameyeh; Karr, Chris; Vergara, Jessica L.; Gray, Elizabeth L.; Kwasny, Mary J.; Lattie, Emily G.","Journal of Medical Internet Research",="14394456",,="20190828","21","8",,,"2019-55334-001","10.2196/13609","JMIR Publications","Journal Article","Anxiety; Major Depression; Mobile Applications; Mobile Health; Generalized Anxiety Disorder; Coaching; Psychological Engagement; Adulthood (18 yrs & older); Male; Female",,"Background: IntelliCare is a modular platform that includes 12 simple apps targeting specific psychological strategies for common mental health problems. Objective: This study aimed to examine the effect of 2 methods of maintaining engagement with the IntelliCare platform, coaching, and receipt of weekly recommendations to try different apps on depression, anxiety, and app use. Methods: A total of 301 participants with depression or anxiety were randomized to 1 of 4 treatments lasting 8 weeks and were followed for 6 months posttreatment. The trial used a 2X2 factorial design (coached vs self-guided treatment and weekly app recommendations vs no recommendations) to compare engagement metrics. Results: The median time to last use of any app during treatment was 56 days (interquartile range 54-57), with 253 participants (84.0%, 253/301) continuing to use the apps over a median of 92 days posttreatment. Receipt of weekly recommendations resulted in a significantly higher number of app use sessions during treatment (overall median = 216; P = .04) but only marginal effects for time to last use (P = .06) and number of app downloads (P = .08). Coaching resulted in significantly more app downloads (P < .001), but there were no significant effects for time to last download or number of app sessions (P = .36) or time to last download (P = .08). Participants showed significant reductions in the Patient Health Questionnaire-9 (PHQ-9) and Generalized Anxiety Disorder-7 (GAD-7) across all treatment arms (Ps < .001). Coached treatment led to larger GAD-7 reductions than those observed for self-guided treatment (P = .03), but the effects for the PHQ-9 did not reach significance (P = .06). Significant interaction was observed between receiving recommendations and time for the PHQ-9 (P = .04), but there were no significant effects for GAD-7 (P = .58). Conclusions: IntelliCare produced strong engagement with apps across all treatment arms. Coaching was associated with stronger anxiety outcomes, and receipt of recommendations enhanced depression outcomes. (PsycInfo Database Record (c) 2020 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2019-55334-001&site=ehost-live"
"Coping with stress: A pilot study of a self-help stress management intervention for patients with epileptic or psychogenic nonepileptic seizures.","Novakova, Barbora; Harris, Peter R.; Rawlings, Gregg H.; Reuber, Markus","Epilepsy & Behavior",="15255050",,="20190501","94",,"169","9","2019-28790-028","10.1016/j.yebeh.2019.03.002","Elsevier Science","Journal Article","Epileptic Seizures; Seizures; Self-Help Techniques; Stress Management; Intervention; Adulthood (18 yrs & older); Male; Female",,"Purpose: Many patients with epilepsy or psychogenic nonepileptic seizures (PNES) experience high levels of stress. Although psychological interventions have been developed for seizure disorders, few patients can currently access them. We aimed to assess the acceptability and feasibility of a self-help intervention targeting stress in patients with seizures, and to provide preliminary evidence for its effectiveness. Method: Patients were recruited from outpatient neurology clinics and randomized to an immediate intervention group (n = 39), who received the intervention at baseline, or a delayed intervention group (n = 43), who received the intervention one-month postbaseline. Participants completed self-report questionnaires measuring stress (Smith Stress Symptom Inventory [SSSI]), anxiety (Generalized Anxiety Disorder 7-item Scale [GAD-7]), depression (Neurological Disorders Depression Inventory for Epilepsy [NDDI-E]), quality of life (European Quality of Life—5 Dimensions [EQ-5D]), and seizure severity and frequency (Liverpool Seizure Severity Scale [LSSS-3]) at baseline, and at one- and two-month follow-up. Participants also provided telephone feedback. The intervention consisted of a self-help stress management workbook based on an integrative stress model framework. Results: Although the rate of participants failing to return follow-up information at two months was approximately 50%, those who completed the trial found the intervention acceptable; with the majority rating it as helpful (63.6%) and that they would recommend it to others with seizures (88.1%). A significant reduction in self-reported stress (P = .01) with a medium effect size (dz = 0.51) was observed one-month postintervention. There were no significant changes in any other measures. Conclusion: The intervention was perceived to be acceptable, safe, and helpful by participants. It could be a useful complementary treatment option for reducing stress experienced by patients living with seizure disorders. Further evaluation in a larger trial is warranted. (PsycINFO Database Record (c) 2019 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2019-28790-028&site=ehost-live"
"Depression, anxiety and health status across different BMI classes: A representative study in Germany.","Herhaus, Benedict; Kersting, Anette; Brähler, Elmar; Petrowski, Katja","Journal of Affective Disorders",="01650327",,="20201101","276",,"45","8","2020-64969-007","10.1016/j.jad.2020.07.020","Elsevier Science","Journal Article","Body Mass Index; Comorbidity; Generalized Anxiety Disorder; Major Depression; Health Status; Obesity; Underweight; Adolescence (13-17 yrs); Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Thirties (30-39 yrs); Middle Age (40-64 yrs); Aged (65 yrs & older); Very Old (85 yrs & older); Male; Female",,"Background: Changes in body mass index (BMI) over the course of one's lifetime are related to the development of mental disorders. In the current study we compared symptoms of depression, generalized anxiety as well as general health status in the four BMI-classes: underweight, normal weight, overweight and obesity. Furthermore, mediator role of general health status on the relationship between BMI and depression and generalized anxiety was analyzed. Methods: A representative sample (random-route sampling) of the German population (N = 2350) was investigated in a cross-sectional survey by measuring the three questionnaires PHQ-9, GAD-7 and EQ-5D-5L. Results: The results showed significant differences between the four BMI-classes in all three questionnaires. Individuals with obesity demonstrated higher values in depression, anxiety and general health compared to the three other BMI-classes. However, there was no U-shaped association between BMI and depression, anxiety and health-related quality of life. Regarding to the mediation analysis, general health status fully mediated the association between BMI, depressive symptoms as well as generalized anxiety symptoms. Limitations: The assessment of the three factors depression, anxiety and general health status were measured by questionnaires, but no clinical diagnoses can be provided. Conclusions: Evidence supports that individuals with obesity have an increased risk for depression and anxiety as well as lower general health. Further research on potential intervention and strategies in public health policies is needed to be able to target the developing of mental disorders in individuals with obesity. Taking their general health status into account is also of great importance. (PsycInfo Database Record (c) 2020 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2020-64969-007&site=ehost-live"
"Differential effects of cranial electrotherapy stimulation on changes in anxiety and depression symptoms over time in patients with generalized anxiety disorder.","Morriss, Richard; Price, Larry","Journal of Affective Disorders",="01650327",,="20201201","277",,"785","4","2020-75728-101","10.1016/j.jad.2020.09.006","Elsevier Science","Journal Article","Anxiety; Electrical Brain Stimulation; Generalized Anxiety Disorder; Major Depression; Adulthood (18 yrs & older); Male; Female",,"Background: Cranial electrotherapy stimulation (CES) is a safe and well-tolerated 6-12 week treatment that is clinically and cost effective on both anxiety and depression symptoms resulting in sustained remission of these symptoms at 12 and 24 weeks in generalized anxiety disorder (GAD) patients. The aim of the current report was to explore whether the effectiveness of CES was related to its effects on depression or anxiety over time Methods: A consecutive sample of 161 eligible patients with GAD was recruited from two publicly funded services in England while they waited for individual cognitive behaviour therapy (CBT) after failing to achieve remission on the GAD-7 with computerised CBT. They received 60 minutes per day Alpha-Stim CES for 6-12 weeks. Outcomes were changes in PHQ-9, GAD-7 score from baseline to 4, 6, 8, 12 and 24 weeks. Latent variable cross-lagged panel analysis permitted an analysis of the differential effects of anxiety and depression with CES treatment over time. Results: Anxiety at baseline significantly predicted depression at week 4 (standardized regression weight = .40, p < 0.001). Depression at week 12 significantly predicted anxiety at week 24 (standardized regression weight = .28, p < 0.05). Limitations: Not a randomized controlled trial but further analysis of a prospective observational cohort. High rates of loss to follow up by 24 weeks. Conclusion: Sustained effectiveness required a CES response to anxiety symptoms in first 4 weeks and improvement in depression symptoms by 12 weeks. (PsycInfo Database Record (c) 2020 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2020-75728-101&site=ehost-live"
