Article Title	Author	Journal Title	Publication Date	Accession Number	DOI	Anchors	Rater	Comments
Evaluating subjective cognitive impairment in the adult epilepsy clinic: Effects of depression, number of antiepileptic medications, and seizure frequency.	Feldman, Lauren; Lapin, Brittany; Busch, Robyn M.; Bautista, Jocelyn F.	Epilepsy & Behavior	20180401	2018-14615-003	10.1016/j.yebeh.2017.10.011	0	sz	
Latent profiles of early trauma & Type D personality: Sex differences in cardiovascular risk markers.	van Montfort, Eveline; Mommersteeg, Paula; Spek, Viola; Kupper, Nina	Comprehensive Psychiatry	20180501	2019-05122-008	10.1016/j.comppsych.2018.02.009	1	sz	
Resilience and physical and mental well-being in adults with and without HIV.	McGowan, Jennifer A.; Brown, James; Lampe, Fiona C.; Lipman, Marc; Smith, Colette; Rodger, Alison	AIDS and Behavior	20180501	2017-52646-001	10.1007/s10461-017-1980-6	0	sz	
Selected psychiatric problems among college students in two Arab countries: Comparison with the USA.	Kronfol, Ziad; Khalifa, Batoul; Khoury, Brigitte; Omar, Omar; Daouk, Sariah; deWitt, J. P.; ElAzab, Nourehan; Eisenberg, Daniel	BMC Psychiatry	20180524	2018-25323-001	10.1186/s12888-018-1718-7	0	sz	
Common mental disorder including psychotic experiences: Trailblazing a new recovery pathway within the Improving Access to Psychological Therapies programme in England.	Perez, Jesus; Russo, Debra A.; Stochl, Jan; Clarke, James; Martin, Zoe; Jassi, Christina; French, Paul; Fowler, David; Jones, Peter B.	Early Intervention in Psychiatry	20180601	2017-21995-001	10.1111/eip.12434	1	sz	
The Generalized Anxiety Disorder Screener (GAD‐7) and the anxiety module of the Hospital and Depression Scale (HADS‐A) as screening tools for generalized anxiety disorder among cancer patients.	Esser, Peter; Hartung, Tim J.; Friedrich, Michael; Johansen, Christoffer; Wittchen, Hans‐Ulrich; Faller, Hermann; Koch, Uwe; Härter, Martin; Keller, Monika; Schulz, Holger; Wegscheider, Karl; Weis, Joachim; Mehnert, Anja	Psycho-Oncology	20180601	2018-13571-001	10.1002/pon.4681	1	sz	
Mental health effects caused by red imported fire ant attacks (Solenopsis invicta).	Wang, Lei; Lu, Yongyue; Li, Ripeng; Zeng, Ling; Du, Junling; Huang, Xiong; Xu, Yijuan	PLoS ONE	20180625	2018-31346-001	10.1371/journal.pone.0199424	0	sz	
Association of depression and anxiety with the 10-year risk of cardiovascular mortality in a primary care population of Latvia using the SCORE system.	Ivanovs, Rolands; Kivite, Anda; Ziedonis, Douglas; Mintale, Iveta; Vrublevska, Jelena; Rancans, Elmars	Frontiers in Psychiatry	20180626	2018-32802-001	10.3389/fpsyt.2018.00276	0	sz	
Feedback-informed treatment versus usual psychological treatment for depression and anxiety: A multisite, open-label, cluster randomised controlled trial.	Delgadillo, Jaime; de Jong, Kim; Lucock, Mike; Lutz, Wolfgang; Rubel, Julian; Gilbody, Simon; Ali, Shehzad; Aguirre, Elisa; Appleton, Mark; Nevin, Jacqueline; O'Hayon, Harry; Patel, Ushma; Sainty, Andrew; Spencer, Peter; McMillan, Dean	The Lancet Psychiatry	20180701	2018-31904-025	10.1016/S2215-0366(18)30162-7	0	sz	
Cognitive behaviour treatment of co-occurring depression and generalised anxiety in routine clinical practice.	Shafran, Roz; Wroe, Abigail; Nagra, Sasha; Pissaridou, Eleni; Coughtrey, Anna	PLoS ONE	20180726	2018-37256-001	10.1371/journal.pone.0201226	0	sz	
Caregiver burden, sleep quality, depression, and anxiety in dementia caregivers: A comparison of frontotemporal lobar degeneration, dementia with Lewy bodies, and Alzheimer’s disease.	Liu, Shuai; Liu, Jing; Wang, Xiao-Dan; Shi, Zhihong; Zhou, Yuying; Li, Jing; Yu, Tao; Ji, Yong	International Psychogeriatrics	20180801	2017-55712-001	10.1017/S1041610217002630	0	sz	
Feasibility of a mindfulness-based cognitive therapy group intervention as an adjunctive treatment for postpartum depression and anxiety.	Shulman, Barbara; Dueck, Royce; Ryan, Deirdre; Breau, Genevieve; Sadowski, Isabel; Misri, Shaila	Journal of Affective Disorders	20180801	2018-23782-010	10.1016/j.jad.2017.12.065	1	sz	
Person-centered analysis of psychological traits to explain heterogeneity in patient-reported outcomes of coronary artery disease—The THORESCI study.	van Montfort, Eveline; Kupper, Nina; Widdershoven, Jos; Denollet, Johan	Journal of Affective Disorders	20180801	2018-26491-004	10.1016/j.jad.2018.04.072	1	sz	
Prevalence of mental distress among Syrian refugees with residence permission in Germany: A registry-based study.	Georgiadou, Ekaterini; Zbidat, Ali; Schmitt, Gregor M.; Erim, Yesim	Frontiers in Psychiatry	20180828	2018-44041-001	10.3389/fpsyt.2018.00393	1	sz	
Associations between therapists' occupational burnout and their patients' depression and anxiety treatment outcomes.	Delgadillo, Jaime; Saxon, David; Barkham, Michael	Depression and Anxiety	20180901	2018-21000-001	10.1002/da.22766	0	sz	
Facilitating the dissemination of iCBT for the treatment of anxiety and depression: A feasibility study.	DaPonte, Daniella; Talbot, France; Titov, Nickolai; Dear, Blake F.; Hadjistavropoulos, Heather D.; Hadjistavropoulos, Thomas; Jbilou, Jalila	Behaviour Change	20180901	2018-43113-001	10.1017/bec.2018.14	0	sz	
Validity of the PROMIS depression and anxiety common metrics in an online sample of Australian adults.	Sunderland, M.; Batterham, P.; Calear, A.; Carragher, N.	Quality of Life Research: An International Journal of Quality of Life Aspects of Treatment, Care & Rehabilitation	20180901	2018-27463-001	10.1007/s11136-018-1905-5	0	sz	
Gender-informed psycho-educational programme to promote respectful relationships and reduce postpartum common mental disorders among primiparous women: Long-term follow-up of participants in a community-based cluster randomised controlled trial.	Fisher, Jane; Tran, Thach; Wynter, Karen; Hiscock, Harriet; Bayer, Jordana; Rowe, Heather	Global Mental Health	20180925	2018-48705-001	10.1017/gmh.2018.20	1	sz	
Cognitive impairment as measured by the THINC-integrated tool (THINC-it): The association with self-reported anxiety in Major Depressive Disorder.	Cha, Danielle S.; Carmona, Nicole E.; Rodrigues, Nelson B.; Mansur, Rodrigo B.; Lee, Yena; Subramaniapillai, Mehala; Phan, Lee; Cha, Rebekah H.; Pan, Zihang; Lee, Jae Hon; Lee, JungGoo; Almatham, Fahad; Alageel, Asem; Rosenblat, Joshua D.; Shekotikhina, Margarita; Rong, Carola; Harrison, John; McIntyre, Roger S.	Journal of Affective Disorders	20181001	2018-36905-032	10.1016/j.jad.2018.05.006	1	sz	
Comparing the diagnostic concepts of ICD-10 somatoform disorders and DSM-5 somatic symptom disorders in patients from a psychosomatic outpatient clinic.	Hüsing, Paul; Löwe, Bernd; Toussaint, Anne	Journal of Psychosomatic Research	20181001	2018-44083-013	10.1016/j.jpsychores.2018.08.001	0	sz	
Low sense of coherence is associated with anxiety among adults: Results based on data from all 47 prefectures of Japan.	Uchida, Hiroyuki; Tsujino, Daisuke; Muguruma, Takuro; Hino, Naoki; Sasaki, Keiji; Miyoshi, Masato; Koyama, Yuya; Hirao, Kazuki	Comprehensive Psychiatry	20181001	2019-05160-022	10.1016/j.comppsych.2018.08.006	0	sz	
Doctor's recommendations for psychosocial care: Frequency and predictors of recommendations and referrals.	Ernst, Jochen; Faller, Hermann; Koch, Uwe; Brähler, Elmar; Härter, Martin; Schulz, Holger; Weis, Joachim; Köhler, Norbert; Hinz, Andreas; Mehnert, Anja	PLoS ONE	20181004	2018-50176-001	10.1371/journal.pone.0205160	0	sz	
Socio-economic, trafficking exposures and mental health symptoms of human trafficking returnees in Ethiopia: Using a generalized structural equation modelling.	Gezie, Lemma Derseh; Yalew, Alemayehu Worku; Gete, Yigzaw Kebede; Azale, Telake; Brand, Tilman; Zeeb, Hajo	International Journal of Mental Health Systems	20181024	2018-54101-001		1	sz	
Factors associated with fear of progression in Chinese cancer patients: Sociodemographic, clinical and psychological variables.	Yang, Yuan; Sun, Hengwen; Liu, Ting; Zhang, Jingying; Wang, Hongmei; Liang, Weijiang; Chen, Yu; Zhang, Bin	Journal of Psychosomatic Research	20181101	2018-51188-005	10.1016/j.jpsychores.2018.09.003	1	sz	
Preliminary findings of a new primary and community care psychological service in Northern Ireland: Low-intensity cognitive behavioural therapy for common mental health difficulties.	McDevitt-Petrovic, Orla; Kirby, Karen; McBride, Orla; Shevlin, Mark; McAteer, Donal; Gorman, Colin; Murphy, Jamie	Behavioural and Cognitive Psychotherapy	20181101	2018-28913-001	10.1017/S1352465818000322	0	sz	
Suicidal ideation in patients with coronary heart disease and hypertension: Baseline results from the DEPSCREEN‐INFO clinical trial.	Lehmann, Marco; Kohlmann, Sebastian; Gierk, Benjamin; Murray, Alexandra M.; Löwe, Bernd	Clinical Psychology & Psychotherapy	20181101	2018-32843-001	10.1002/cpp.2305	0	sz	
No relationship between generalised anxiety symptoms and cardiovascular autonomic dysfunction.	Kupats, Einars; Noviks, Ilja; Vrublevska, Jelena; Kenina, Viktorija; Kojalo, Una; Logina, Inara	Neurology, Psychiatry and Brain Research	20181201	2019-26865-014	10.1016/j.npbr.2018.07.001	0	sz	
The effects of an online mindfulness intervention on perceived stress, depression and anxiety in a non-clinical sample: A randomised waitlist control trial.	Querstret, Dawn; Cropley, Mark; Fife-Schaw, Chris	Mindfulness	20181201	2018-21142-001	10.1007/s12671-018-0925-0	1	sz	
Grit is associated with lower level of depression and anxiety among university students in Chiang Mai, Thailand: A cross-sectional study.	Musumari, Patou Masika; Tangmunkongvorakul, Arunrat; Srithanaviboonchai, Kriengkrai; Techasrivichien, Teeranee; Suguimoto, S. Pilar; Ono-Kihara, Masako; Kihara, Masahiro	PLoS ONE	20181214	2018-65246-001	10.1371/journal.pone.0209121	1	sz	
Internet-based cognitive behavioral therapy with real-time therapist support via videoconference for patients with obsessive-compulsive disorder, panic disorder, and social anxiety disorder: Pilot single-arm trial.	Matsumoto, Kazuki; Sutoh, Chihiro; Asano, Kenichi; Seki, Yoichi; Urao, Yuko; Yokoo, Mizue; Takanashi, Rieko; Yoshida, Tokiko; Tanaka, Mari; Noguchi, Remi; Nagata, Shinobu; Oshiro, Keiko; Numata, Noriko; Hirose, Motohisa; Yoshimura, Kensuke; Nagai, Kazue; Sato, Yasunori; Kishimoto, Taishiro; Nakagawa, Akiko; Shimizu, Eiji	Journal of Medical Internet Research	20181217	2018-65473-001	10.2196/12091	0	sz	
The factor structure, reliability and validity of the Chinese version of the Van Dream Anxiety Scale.	Wang, Xiang; Dai, Lisha; Yin, Meng; Deng, Yunlong	Neuropsychiatric Disease and Treatment	20181221	2019-02742-001	10.2147/NDT.S192891	0	sz	
Anxiety and depression symptoms among gas and oil industry workers.	Žeželj, S. Pavičić; Peloza, O. Cvijanović; Mika, F.; Stamenković, S.; Vranić, S. Mahmutović; Hajrić, S. Šabanagić	Occupational Medicine	20190101	2019-12939-007	10.1093/occmed/kqy170	0	sz	
Outcomes of telephone-delivered low-intensity cognitive behaviour therapy (LiCBT) to community dwelling Australians with a recent hospital admission due to depression or anxiety: Mindstep™.	Lawn, Sharon; Huang, Nancy; Zabeen, Sara; Smith, David; Battersby, Malcolm; Redpath, Paula; Glover, Fiona; Venning, Anthony; Cameron, Jane; Fairweather-Schmidt, Kate	BMC Psychiatry	20190103	2019-00662-001	10.1186/s12888-018-1987-1	0	sz	
Clinical significance of sensory hypersensitivities in migraine patients: Does allodynia have a priority on it?	Seo, Jong-Geun; Park, Sung-Pa	Neurological Sciences	20190201	2019-04825-024	10.1007/s10072-018-3661-2	0	sz	
Epidemiology of technology addiction among school students in rural India.	Jamir, Limalemla; Duggal, Mona; Nehra, Ritu; Singh, Pushpendra; Grover, Sandeep	Asian Journal of Psychiatry	20190201	2019-19231-012	10.1016/j.ajp.2019.01.009	0	sz	
The mediating role of borderline personality features in the relationship between childhood trauma and psychotic-like experiences in a sample of help-seeking non-psychotic adolescents and young adults.	Sengutta, Mary; Gawęda, Łukasz; Moritz, Steffen; Karow, Anne	European Psychiatry	20190201	2019-10174-011	10.1016/j.eurpsy.2018.11.009	1	sz	
Effects of surgical repair of obstetric fistula on severity of depression and anxiety in Ethiopia.	Belayihun, Bekele; Mavhandu-Mudzusi, Azwihangwisi Helen	BMC Psychiatry	20190207	2019-07710-001	10.1186/s12888-019-2045-3	0	sz	
A randomised placebo controlled clinical trial on the efficacy of Caralluma fimbriata supplement for reducing anxiety and stress in healthy adults over eight weeks.	Kell, G.; Rao, A.; Katsikitis, M.	Journal of Affective Disorders	20190301	2019-07272-074	10.1016/j.jad.2018.12.062	1	sz	
Anxiety and somatic symptoms among elderly patients with depression.	Grover, Sandeep; Sahoo, Swapnajeet; Chakrabarti, Subho; Avasthi, Ajit	Asian Journal of Psychiatry	20190301	2019-20638-015	10.1016/j.ajp.2018.07.009	0	sz	
Effects of onabotulinumtoxinA treatment for chronic migraine on common comorbidities including depression and anxiety.	Blumenfeld, Andrew M.; Tepper, Stewart J.; Robbins, Lawrence D.; Adams, Aubrey Manack; Buse, Dawn C.; Orejudos, Amelia; Silberstein, Stephen D.	Journal of Neurology, Neurosurgery & Psychiatry	20190301	2019-28361-004	10.1136/jnnp-2018-319290	0	sz	
Plasma neuropeptide-s levels in populations diagnosed with generalized anxiety disorder: A controlled study.	Baykan, Hayriye; Baykan, Özgür; Durmaz, Onur; Kara, Hayrettin; Hişmioğulları, Adnan Adil; Karlidere, Tunay	Nöropsikiyatri Arşivi	20190301	2019-64464-010		0	sz	
Psychosocial predictors of cognition in bariatric surgery.	Moscovici, Mario; Wnuk, Susan; Okrainec, Allan; Hawa, Raed; Sockalingam, Sanjeev	Psychosomatics: Journal of Consultation and Liaison Psychiatry	20190301	2019-18815-005	10.1016/j.psym.2018.06.010	0	sz	
The association between an anxiety disorder and cancer in medical history.	Zeynalova, N.; Schimpf, S.; Setter, C.; Yahiaoui-Doktor, M.; Zeynalova, S.; Lordick, F.; Loeffler, M.; Hinz, A.	Journal of Affective Disorders	20190301	2019-07272-077	10.1016/j.jad.2018.12.019	0	sz	
Cannabis use behaviors and prevalence of anxiety and depressive symptoms in a cohort of Canadian medicinal cannabis users.	Turna, Jasmine; Simpson, William; Patterson, Beth; Lucas, Philippe; Van Ameringen, Michael	Journal of Psychiatric Research	20190401	2019-21942-021	10.1016/j.jpsychires.2019.01.024	0	sz	
Psychiatric comorbidity in neurological disorders: Towards a multidisciplinary approach to illness management in the United Arab Emirates.	Alsaadi, Taoufik; Kassie, Seada; Mohamed Ali, Ola; Mozahem, Khaldoun; al Fardan, Safana; Ahmed, Ahmed M.	Frontiers in Psychiatry	20190425	2019-26290-001	10.3389/fpsyt.2019.00263	0	sz	
Coping with stress: A pilot study of a self-help stress management intervention for patients with epileptic or psychogenic nonepileptic seizures.	Novakova, Barbora; Harris, Peter R.; Rawlings, Gregg H.; Reuber, Markus	Epilepsy & Behavior	20190501	2019-28790-028	10.1016/j.yebeh.2019.03.002	0	sz	
Mental health and quality of life among asylum seekers and refugees living in refugee housing facilities in Sweden.	Leiler, Anna; Bjärtå, Anna; Ekdahl, Johanna; Wasteson, Elisabet	Social Psychiatry and Psychiatric Epidemiology: The International Journal for Research in Social and Genetic Epidemiology and Mental Health Services	20190501	2018-66378-001	10.1007/s00127-018-1651-6	0	sz	
Screening for perinatal anxiety disorders: Room to grow.	Fairbrother, Nichole; Corbyn, Bryony; Thordarson, Dana S.; Ma, Annie; Surm, Danika	Journal of Affective Disorders	20190501	2019-20567-051	10.1016/j.jad.2019.03.052	0	sz	
Smoking cessation for people with severe mental illness (SCIMITAR+): A pragmatic randomised controlled trial.	Gilbody, Simon; Peckham, Emily; Bailey, Della; Arundel, Catherine; Heron, Paul; Crosland, Suzanne; Fairhurst, Caroline; Hewitt, Catherine; Li, Jinshuo; Parrott, Steve; Bradshaw, Tim; Horspool, Michelle; Hughes, Elizabeth; Hughes, Tom; Ker, Suzy; Leahy, Moira; McCloud, Tayla; Osborn, David; Reilly, Joe; Steare, Thomas; Ballantyne, Emma; Bidwell, Polly; Bonner, Sue; Brennan, Diane; Callen, Tracy; Carey, Alex; Colbeck, Charlotte; Coton, Debbie; Donaldson, Emma; Evans, Kimberley; Herlihy, Hannah; Khan, Wajid; Nyathi, Lizwi; Nyamadzawo, Elizabeth; Oldknow, Helen; Phiri, Peter; Rathod, Shanaya; Rea, Jamie; Romain-Hooper, Crystal-Bella; Smith, Kaye; Stribling, Alison; Vickers, Carinna	The Lancet Psychiatry	20190501	2019-23328-021	10.1016/S2215-0366(19)30047-1	0	sz	
Somatic and psychosocial determinants of symptom severity and quality of life in male and female patients with chronic pelvic pain syndrome.	Piontek, Katharina; Ketels, Gesche; Albrecht, Rebecca; Schnurr, Ulrike; Dybowski, Christoph; Brünahl, Christian A.; Riegel, Björn; Löwe, Bernd	Journal of Psychosomatic Research	20190501	2019-19029-002	10.1016/j.jpsychores.2019.02.010	1	sz	
The CSS-12: Development and validation of a short-form version of the Cyberchondria Severity Scale.	McElroy, Eoin; Kearney, Mathew; Touhey, Jade; Evans, Joseph; Cooke, Yasmin; Shevlin, Mark	Cyberpsychology, Behavior, and Social Networking	20190501	2019-23137-001	10.1089/cyber.2018.0624	1	sz	
Types of problematic smartphone use based on psychiatric symptoms.	Rho, Mi Jung; Park, Jihwan; Na, Euihyeon; Jeong, Jo-Eun; Kim, Jae Kwon; Kim, Dai-Jin; Choi, In Young	Psychiatry Research	20190501	2019-26175-008	10.1016/j.psychres.2019.02.071	0	sz	
An evaluation of large group cognitive behaviour therapy with mindfulness (CBTm) classes.	Thakur, Vishal K.; Wong, Jacquelyne Y.; Randall, Jason R.; Bolton, James M.; Parikh, Sagar V.; Mota, Natalie; Whitney, Debbie; Palay, Joshua; Kinley, Jolene; Diocee, Simran; Sala, Tanya; Sareen, Jitender	BMC Psychiatry	20190503	2019-25387-001	10.1186/s12888-019-2124-5	1	sz	
Loneliness and its correlates amongst elderly attending non-communicable disease rural clinic attached to a tertiary care centre of North India.	Grover, Sandeep; Verma, Madhur; Singh, Tarundeep; Dahiya, Neha; Nehra, Ritu	Asian Journal of Psychiatry	20190601	2019-53369-044	10.1016/j.ajp.2019.06.001	0	sz	
Perceived stress, psychological functioning, and resilience among individuals in same-sex binational relationships.	Nakamura, Nadine; Tsong, Yuying	Psychology of Sexual Orientation and Gender Diversity	20190601	2018-55354-001	10.1037/sgd0000318		sz	need access
Prevalence, comorbidity and predictors of post-traumatic stress disorder, depression, and anxiety in adolescents following an earthquake.	Marthoenis, Marthoenis; Ilyas, Adnani; Sofyan, Hizir; Schouler-Ocak, Meryam	Asian Journal of Psychiatry	20190601	2019-53369-037	10.1016/j.ajp.2019.05.030	1	sz	
A Web-based mental health platform for individuals seeking specialized mental health care services: Multicenter pragmatic randomized controlled trial.	Hensel, Jennifer M.; Shaw, James; Ivers, Noah M.; Desveaux, Laura; Vigod, Simone N.; Cohen, Ashley; Onabajo, Nike; Agarwal, Payal; Mukerji, Geetha; Yang, Rebecca; Nguyen, Megan; Bouck, Zachary; Wong, Ivy; Jeffs, Lianne; Jamieson, Trevor; Bhatia, R. Sacha	Journal of Medical Internet Research	20190604	2019-43439-001	10.2196/10838	1	sz	
Clinical effectiveness and cost minimisation model of Alpha-Stim cranial electrotherapy stimulation in treatment seeking patients with moderate to severe generalised anxiety disorder.	Morriss, Richard; Xydopoulos, Georgios; Craven, Michael; Price, Larry; Fordham, Richard	Journal of Affective Disorders	20190615	2019-36780-053	10.1016/j.jad.2019.04.020	0	sz	
NEET status among young Greeks: Association with mental health and substance use.	Basta, Maria; Karakonstantis, Stamatis; Koutra, Katerina; Dafermos, Vassilis; Papargiris, Antonis; Drakaki, Maria; Tzagkarakis, Stelios; Vgontzas, Alexandros; Simos, Panagiotis; Papadakis, Nikos	Journal of Affective Disorders	20190615	2019-36780-026	10.1016/j.jad.2019.04.095	1	sz	
A feasibility open trial of a brief internet-delivered written exposure therapy for worry.	Roch-Gagné, Margaux; Talbot, France	Behavioural and Cognitive Psychotherapy	20190701	2019-02291-001	10.1017/S1352465818000693	0	sz	
Biopsychosocial profiles and functional correlates in older adults with chronic low back pain: A preliminary study.	Weiner, Debra K.; Gentili, Angela; Coffey-Vega, Katherine; Morone, Natalia; Rossi, Michelle; Perera, Subashan	Pain Medicine	20190701	2019-41470-009	10.1093/pm/pny065	0	sz	
Gender differences and prevalence of mental health problems in students of healthcare units.	Gitay, Mehnaz Nuruddin; Fatima, Sarah; Arshad, Shahama; Arshad, Basmah; Ehtesham, Ahsan; Baig, Muhammad Ameen; Ilyas, Muhammad Furqan; Rizvi, Shaad Farhat; Farooqui, Qadeer; Masroor, Muhammad; Haque, Zeba	Community Mental Health Journal	20190701	2018-42593-001	10.1007/s10597-018-0304-2	0	sz	
Prevalence of depression and anxiety among otolaryngology outpatients at Jordan University Hospital.	Al‐Rawashdeh, Baeth Moh'd; Saleh, Mohammad Y. N.; Mustafa, Radwan Bani; Alkhoujah, Mohammad Fayez; Elkhatib, Ahmad H.; Alsghaireen, Hadil; Hubaishy, Lana Z.	Perspectives in Psychiatric Care	20190701	2018-43650-001	10.1111/ppc.12320	0	sz	
Involvement in compensation litigation and outcome from an online pain management program.	Nielssen, Olav; Staples, Lauren; Titov, Nickolai; Gandy, Milena; Fogliati, Rhiannon; Dear, Blake	Rehabilitation Psychology	20190801	2019-10570-001	10.1037/rep0000262		sz	need access
Migraine comorbidity and cognitive performance in patients with focal epilepsy.	de Dhaem, Olivia A. J. Begasse; French, Jacqueline; Morrison, Chris; Meador, Kimford J.; Hesdorffer, Dale C.; Cristofaro, Sabrina; Minen, Mia T.	Epilepsy & Behavior	20190801	2019-50023-005	10.1016/j.yebeh.2019.05.008	0	sz	
Psychometric properties of the general anxiety disorder 7-item (GAD-7) scale in a heterogeneous psychiatric sample.	Johnson, Sverre Urnes; Ulvenes, Pål Gunnar; Øktedalen, Tuva; Hoffart, Asle	Frontiers in Psychology	20190806	2019-49441-001	10.3389/fpsyg.2019.01713	0	sz	
Comparison of the effects of coaching and receipt of app recommendations on depression, anxiety, and engagement in the IntelliCare platform: Factorial, randomized controlled trial.	Mohr, David C.; Schueller, Stephen M.; Tomasino, Kathryn Noth; Kaiser, Susan M.; Alam, Nameyeh; Karr, Chris; Vergara, Jessica L.; Gray, Elizabeth L.; Kwasny, Mary J.; Lattie, Emily G.	Journal of Medical Internet Research	20190828	2019-55334-001	10.2196/13609	0	sz	
Impacts of socio-cultural environment and lifestyle factors on the psychological health of university students in Bangladesh: A longitudinal study.	Hossain, Sahadat; Anjum, Afifa; Uddin, Md. Elias; Rahman, Md. Abdur; Hossain, Md. Forhad	Journal of Affective Disorders	20190901	2019-56914-052	10.1016/j.jad.2019.06.001	0	sz	
Internet-delivered treatment for young adults with anxiety and depression: Evaluation in routine clinical care and comparison with research trial outcomes.	Staples, Lauren G.; Dear, Blake F.; Johnson, Bareena; Fogliati, Vincent; Gandy, Milena; Fogliati, Rhiannon; Nielssen, Olav; Titov, Nickolai	Journal of Affective Disorders	20190901	2019-56914-014	10.1016/j.jad.2019.05.058	0	sz	
Outcome comparison of integrated psycho‐oncological care versus unstructured care—Results of a non‐randomised open‐label two‐arm trial.	Taylor, Katherine; Singer, Susanne; May, Melanie; Durdu, Gülsemin; Petermann‐Meyer, Andrea	European Journal of Cancer Care	20190901	2019-58584-001	10.1111/ecc.13127	1	sz	
Psychometric validation of a Turkish version of the Inventory of Common Problems: A tool for Turkish college counselors.	Kaya, Cahit; Umucu, Emre; Rumrill, Phil; Chan, Fong; Muller, Veronica; Bezyak, Jill; Iwanaga, Kanako	International Journal for the Advancement of Counselling	20190915	2018-43725-001	10.1007/s10447-018-9360-0	1	sz	
Fear of cancer recurrence across the survivorship trajectory: Results from a survey of adult long‐term cancer survivors.	Götze, Heide; Taubenheim, Sabine; Dietz, Andreas; Lordick, Florian; Mehnert‐Theuerkauf, Anja	Psycho-Oncology	20191001	2019-48647-001	10.1002/pon.5188	1	sz	
